C1QD,TAKE ONE CAPSULE DAILY
C1UD,TAKE ONE CAPSULE AS DIRECTED
T12Q46,TAKE ONE TO TWO TABLETS EVERY FOUR TO SIX HOURS
T1UD,TAKE ONE TABLET AS DIRECTED
T1QD,TAKE ONE TABLET DAILY
T1BID,TAKE ONE TABLET TWICE DAILY
T1TID,TAKE ONE TABLET THREE TIMES DAILY
T1QID,TAKE ONE TABLET FOUR TIMES DAILY
TQ2,TAKE ONE TABLET EVERY 2 HOURS
TQ3,TAKE ONE TABLET EVERY 3 HOURS
TQ4,TAKE ONE TABLET EVERY 4 HOURS
TQ6,TAKE ONE TABLET EVERY 6 HOURS
TQ8,TAKE ONE TABLET EVERY 8 HOURS
TQ12,TAKE ONE TABLET EVERY 12 HOURS
TQ24,TAKE ONE TABLET EVERY 24 HOURS
TQ48,TAKE ONE TABLET EVERY 48 HOURS
TQ72,TAKE ONE TABLET EVERY 72 HOURS
TW,TAKE ONE TABLET WEEKLY
T2UD,TAKE 2 TABLETS AS DIRECTED
T2QD,TAKE 2 TABLETS DALY
T2BID,TAKE 2 TABLETS TWICE DAILY
T2TID,TAKE 2 TABLETS THREE TIMES DAILY
T2QID,TAKE 2 TABLETS FOUR TIMES DAILY
T2Q2,TAKE 2 TABLETS EVERY 2 HOURS
T2Q3,TAKE 2 TABLETS EVERY 3 HOURS
T2Q4,TAKE 2 TABLETS EVERY 4 HOURS
T2Q6,TAKE 2 TABLETS EVERY 6 HOURS
T2Q8,TAKE 2 TABLETS EVERY 8 HOURS
T2Q12,TAKE 2 TABLETS EVERY 12 HOURS
T2Q24,TAKE 2 TABLETS EVERY 24 HOURS
T2Q48,TAKE 2 TABLETS EVERY 48 HOURS
T2Q72,TAKE 2 TABLETS EVERY 72 HURS
T2W,TAKE 2 TABLETS WEEKLY
T12UD,TAKE ONE TO TWO TABLETS AS DIRECTED
T12QD,TAKE ONE TO TWO TABLETS DAILY
T12BID,TAKE ONE TO TWO TABLETS TWICE DAILY
T12TID,TAKE ONE TO TWO TABLETS THREE TIMES DAILY
T12QID,TAKE ONE TO TWO TABLETS FOUR TIMES DAILY
T12Q2,TAKE ONE TO TWO TABLETS EVERY 2 HOURS
T12Q3,TAKE ONE TO TWO TABLETS EVERY 3 HOURS
T12Q4,TAKE ONE TO TWO TABLETS EVERY 4 HOURS
T12Q6,TAKE ONE TO TWO TABLETS EVERY 6 HOURS
T12Q8,TAKE ONE TO TWO TABLETS EVERY 8 HOURS
T12Q12,TAKE ONE TO TWO TABLETS EVERY 12 HOURS
T12Q24,TAKE ONE TO TWO TABLETS EVERY 24 HOURS
T12Q48,TAKE ONE TO TWO TABLETS EVERY 48 HOURS
T12Q72,TAKE ONE TO TWO TABLETS EVERY 72 HOURS
T12QW,TAKE ONE TO TWO TABLETS EVERY WEEK
C1BID,TAKE ONE CAPSULE TWICE DAILY
C1TID,TAKE ONE CAPSULE THREE TIMES DAILY
C1QID,TAKE ONE CAPSULE FOUR TIMES DAILY
C1Q2,TAKE ONE CAPSULE EVERY 2 HOURS
C1Q3,TAKE ONE CAPSULE EVERY 3 HOURS
C1Q4,TAKE ONE CAPSULE EVERY 4 HOURS
C1Q6,TAKE ONE CAPSULE EVERY 6 HOURS
C1Q8,TAKE ONE CAPSULE EVERY8 HOURS
C1Q12,TAKE ONE CAPSULE EVERY 12 HOURS
C1Q24,TAKE ONE CAPSULE EVERY 24HOURS
C1Q48,TAKE ONE CAPSULE EVERY 48 HOURS
C1Q72,TAKE ONE CAPSULE EVERY 72 HOURS
C1QW,TAKE ONE CAPSULE EVERY WEEK
C1Q46,TAKE ONE CAPSULE EVERY 4-6 HOURS
Y12,TAKE ONE TEASPOONFUL EVERY 12 HOURS
Y3,TAKE ONE TEASPOONFUL EVERY 3 HOURS
Y34,TAKE ONE TEASPOONFUL EVERY 3 TO 4 HOURS
Y4,TAKE ONE TEASPOONFUL EVERY 4 HOURS
Y46,TAKE ONE TEASPOONFUL EVERY 4 TO 6 HOURS
Y6,TAKE ONE TEASPOONFUL EVERY 6 HOURS
Y68,TAKE ONE TEASPOONFUL EVERY 6 TO 8 HOURS
Y8,TAKE ONE TEASPOONFUL EVERY 8 HOURS
YAM,TAKE ONE TEASPOONFUL IN THE MORNING
YBID,TAKE ONE TEASPOONFUL TWICE DAILY
YD,TAKE ONE TEASPOONFUL DAILY
YHS,TAKE ONE TEASPOONFUL AT BEDTIME
YPM,TAKE ONE TEASPOONFUL IN THE EVENING
YQID,TAKE ONE TEASPOONFUL 4 TIMES DAILY
YTID,TAKE ONE TEASPOONFUL 3 TIMES DAILY
Z12,TAKE ONE TABLESPOONFUL EVERY 12 HOURS
Z3,TAKE ONE TABLESPOONFUL EVERY 3 HOURS
Z34,TAKE ONE TABLESPOONFUL EVERY 3 TO 4 HOURS
Z4,TAKE ONE TABLESPOONFUL EVERY 4 HOURS
Z46,TAKE ONE TABLESPOONFUL EVERY EVERY 4 TO 6 HOURS
Z6,TAKE ONE TABLESPOONFUL EVERY 6 HOURS
Z68,TAKE ONE TABLESPOONFUL EVERY 6 TO 8 HOURS
Z8,TAKE ONE TABLESPOONFUL EVERY 8 HOURS
ZAM,TAKE ONE TABLESPOONFUL EVERY MORNING
ZBID,TAKE ONE TABLESPOONFUL TWICE DAILY
ZD,TAKE ONE TABLESPOONFUL DAILY
ZHS,TAKE ONE TABLESPOONFUL AT BEDTIME
ZPM,TAKE ONE TABLESPOONFUL IN THE EVENING
ZQID,TAKE ONE TABLESPOONFUL 4 TIMES DAILY
ZTID,TAKE ONE TABLESPOONFUL 3 TIMES DAILY
ZHS,TAKE ONE TABLESPOONFUL AT BEDTIME
ZPM,TAKE ONE TABLESPOONFUL ITN THE EVENING
ZQID,TAKE ONE TABLESPOONFUL 4 TIMES DAILY
ZTID,TAKE ONE TABLESPOONFUL 3 TIES DAILY
APUD,APPLY AS DIRECTED
APRN,APPLY AS NEEDED
APQD,APPLY SPARINGLY DAILY
APBID,APPLY SPARINGLY TWICE DAILY
APTID,APPLY SPARINGLY THREE TIMES DAILY
APQID,APPLY SPARINGLY FOUR TIMES DAILY
APHS,APPLY SPARINGLY AT BEDTIME
APAM,APPLY SPARINGLY IN THE MORNING
APOD,APPLY SPARINGLY EVERY OTHER DAY
IUD,UNWRAP AND INSERT RECTALLY AS DIRECTED
IQD,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY DAILY
